Attribute_Name,Mandatory,Num_Domain_ID,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Entity_Name,PK_Flag,FK_Flag,Sequence,T_Size,T_Precision,T_Scale,Data_Source
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_Holidays,,,4,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_MGR,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_EVENT_REASON,,,8,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_ADDR_PERSONAL_HISTORY,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_FO_BUSINESS_UNIT,,,8,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_PERSONAL,,,15,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_GENDER,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_time,,,5,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_CLASS,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_Holiday_Calendar,,,4,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_FO_COST_CENTER,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_BANK_INFO,,,7,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_STATUS,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_FO_DEPARTMENT,,,9,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_POSITION,,,15,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_FO_DIVISION,,,9,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_FO_COUNTRY,,,10,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_Holiday_Assignment,,,4,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_TYPE,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_Job_Code,,,15,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_EMPLOYMENT,,,18,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_ADDR_PERSONAL,,,6,20,,,
dt_upd_by,N,326,Y,KEY_UPDATED_BY,VARCHAR,HR_EMP_PERSONAL_HISTORY,,,14,20,,,
dt_valid_from,N,297,Y,KEY_DATE_YYYYMMDD,Date,HR_EMP_EVENT,,,7,8,,,
dt_valid_from,N,297,Y,KEY_DATE_YYYYMMDD,Date,HR_EMP_JOB,,,23,8,,,
